Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
22-Apr-20,notice power outage,"['There', 'was', 'no', 'notice', 'for', 'power', 'outage']","['there', 'was', 'no', 'notice', 'for', 'power', 'outage']",there was no notice for power outage,notice power outage,notice power outage,notice power outage,Negative,1,0
22-Apr-20,every night brownout hard sleep,"['Every', 'night', 'brownout', ',', 'hard', 'to', 'sleep']","['every', 'night', 'brownout', ',', 'hard', 'to', 'sleep']",every night brownout  hard to sleep,every night brownout hard sleep,every night brownout hard sleep,every night brownout hard sleep,Negative,1,-0.1027
22-Apr-20,every night brownout like christmas lantern,"['Every', 'nights', 'brownout', 'like', 'Christmas', 'lantern']","['every', 'nights', 'brownout', 'like', 'christmas', 'lantern']",every nights brownout like christmas lantern,every nights brownout like christmas lantern,every night brownout like christmas lantern,every night brownout like christmas lantern,Negative,1,0.3612
22-Apr-20,trip silly,"['What', 'is', 'your', 'trip', '?', 'You', 'are', 'so', 'silly']","['what', 'is', 'your', 'trip', '?', 'you', 'are', 'so', 'silly']",what is your trip  you are so silly,trip silly,trip silly,trip silly,Negative,1,0.0258
22-Apr-20,power shortage much fix service,"['The', 'power', 'shortage', 'is', 'too', 'much', ',', 'fix', 'your', 'service']","['the', 'power', 'shortage', 'is', 'too', 'much', ',', 'fix', 'your', 'service']",the power shortage is too much  fix your service,power shortage much fix service,power shortage much fix service,power shortage much fix service,Negative,1,-0.25
23-Apr-20,poor service brown three night row,"['Very', 'poor', 'service', ',', 'brown', 'out', 'for', 'three', 'nights', 'in', 'a', 'row']","['very', 'poor', 'service', ',', 'brown', 'out', 'for', 'three', 'nights', 'in', 'a', 'row']",very poor service  brown out for three nights in a row,poor service brown three nights row,poor service brown three night row,poor service brownout three night row,Negative,1,-0.4767
23-Apr-20,sudden brown without notice,"['Sudden', 'brown', 'out', 'without', 'notice']","['sudden', 'brown', 'out', 'without', 'notice']",sudden brown out without notice,sudden brown without notice,sudden brown without notice,sudden brownout without notice,Neutral,2,0
25-Apr-20,unresponsive admin,"['Unresponsive', 'admin']","['unresponsive', 'admin']",unresponsive admin,unresponsive admin,unresponsive admin,unresponsive admin,Negative,1,0
25-Apr-20,unreliable source unresponsive admin,"['Unreliable', 'source', 'and', 'unresponsive', 'admin']","['unreliable', 'source', 'and', 'unresponsive', 'admin']",unreliable source and unresponsive admin,unreliable source unresponsive admin,unreliable source unresponsive admin,unreliable source unresponsive admin,Negative,1,0
26-Apr-20,best brown iselco,"['Best', 'in', 'brown', 'out', 'iselco']","['best', 'in', 'brown', 'out', 'iselco']",best in brown out iselco,best brown iselco,best brown iselco,best brownout iselco,Negative,1,0.6369
02-May-20,poor service electricity appliance get destroyed beacause doings,"['Very', 'poor', 'service', ',', 'what', 'is', 'that', '?', 'Electricity', 'is', 'on', 'and', 'off', ',', 'the', 'appliances', 'will', 'get', 'destroyed', 'beacause', 'your', 'doings']","['very', 'poor', 'service', ',', 'what', 'is', 'that', '?', 'electricity', 'is', 'on', 'and', 'off', ',', 'the', 'appliances', 'will', 'get', 'destroyed', 'beacause', 'your', 'doings']",very poor service  what is that  electricity is on and off  the appliances will get destroyed beacause your doings,poor service electricity appliances get destroyed beacause doings,poor service electricity appliance get destroyed beacause doings,poor service electricity appliance get destroyed beacause doings,Negative,1,-0.743
07-May-20,poor service constant power shortage appliance get destroyed,"['Very', 'poor', 'service', ',', 'constant', 'power', 'shortage', ',', 'the', 'appliances', 'will', 'get', 'destroyed']","['very', 'poor', 'service', ',', 'constant', 'power', 'shortage', ',', 'the', 'appliances', 'will', 'get', 'destroyed']",very poor service  constant power shortage  the appliances will get destroyed,poor service constant power shortage appliances get destroyed,poor service constant power shortage appliance get destroyed,poor service constant power shortage appliance get destroyed,Negative,1,-0.8074
08-May-20,eye darken see,"['My', 'eyes', 'are', 'darkening', 'when', 'I', 'see', 'you']","['my', 'eyes', 'are', 'darkening', 'when', 'i', 'see', 'you']",my eyes are darkening when i see you,eyes darkening see,eye darken see,eye darken see,Negative,1,0
08-May-20,hope make online payment avoid gathering pay,"['I', 'hope', 'you', 'make', 'online', 'payment', 'to', 'avoid', 'gatherings', 'when', 'paying']","['i', 'hope', 'you', 'make', 'online', 'payment', 'to', 'avoid', 'gatherings', 'when', 'paying']",i hope you make online payment to avoid gatherings when paying,hope make online payment avoid gatherings paying,hope make online payment avoid gathering pay,hope make online payment avoid gathering pay,Neutral,2,0.0772
08-May-20,power shortage add transformer,"['Power', 'shortage', 'here', ',', 'can', 'we', 'add', 'a', 'transformer', 'here']","['power', 'shortage', 'here', ',', 'can', 'we', 'add', 'a', 'transformer', 'here']",power shortage here  can we add a transformer here,power shortage add transformer,power shortage add transformer,power shortage add transformer,Negative,1,-0.25
08-May-20,face thick electricity fix service,"['Your', 'faces', 'are', 'thick', '!', 'The', 'electricity', 'is', 'off', '.', 'Fix', 'your', 'service', '.']","['your', 'faces', 'are', 'thick', '!', 'the', 'electricity', 'is', 'off', '.', 'fix', 'your', 'service', '.']",your faces are thick  the electricity is off  fix your service ,faces thick electricity fix service,face thick electricity fix service,face thick electricity fix service,Negative,1,0
08-May-20,fix service,"['Fix', 'your', 'service']","['fix', 'your', 'service']",fix your service,fix service,fix service,fix service,Negative,1,0
08-May-20,seem lack communication regard schedule maintenance,"['There', 'seems', 'to', 'be', 'a', 'lack', 'of', 'communication', 'regarding', 'scheduled', 'maintenance', '.']","['there', 'seems', 'to', 'be', 'a', 'lack', 'of', 'communication', 'regarding', 'scheduled', 'maintenance', '.']",there seems to be a lack of communication regarding scheduled maintenance ,seems lack communication regarding scheduled maintenance,seem lack communication regard schedule maintenance,seem lack communication regard schedule maintenance,Negative,1,-0.3182
08-May-20,experienced multiple outage without prior notice,"['I', 'have', 'experienced', 'multiple', 'outages', 'without', 'any', 'prior', 'notice', '.']","['i', 'have', 'experienced', 'multiple', 'outages', 'without', 'any', 'prior', 'notice', '.']",i have experienced multiple outages without any prior notice ,experienced multiple outages without prior notice,experienced multiple outage without prior notice,experienced multiple outage without prior notice,Negative,1,0
08-May-20,service interruption affect daily routine work,"['The', 'service', 'interruptions', 'are', 'affecting', 'my', 'daily', 'routine', 'and', 'work', '.']","['the', 'service', 'interruptions', 'are', 'affecting', 'my', 'daily', 'routine', 'and', 'work', '.']",the service interruptions are affecting my daily routine and work ,service interruptions affecting daily routine work,service interruption affect daily routine work,service interruption affect daily routine work,Negative,1,-0.3612
08-May-20,iselco need improve response time customer complaint,"['ISELCO', 'needs', 'to', 'improve', 'their', 'response', 'time', 'to', 'customer', 'complaints', '.']","['iselco', 'needs', 'to', 'improve', 'their', 'response', 'time', 'to', 'customer', 'complaints', '.']",iselco needs to improve their response time to customer complaints ,iselco needs improve response time customer complaints,iselco need improve response time customer complaint,iselco need improve response time customer complaint,Negative,1,0.1779
08-May-20,billing error become regular occurrence unacceptable,"['The', 'billing', 'errors', 'are', 'becoming', 'a', 'regular', 'occurrence', ',', 'which', 'is', 'unacceptable', '.']","['the', 'billing', 'errors', 'are', 'becoming', 'a', 'regular', 'occurrence', ',', 'which', 'is', 'unacceptable', '.']",the billing errors are becoming a regular occurrence  which is unacceptable ,billing errors becoming regular occurrence unacceptable,billing error become regular occurrence unacceptable,billing error become regular occurrence unacceptable,Negative,1,-0.6908
08-May-20,feel concern not take seriously customer service team,"['I', 'feel', 'that', 'my', 'concerns', 'are', 'not', 'taken', 'seriously', 'by', 'the', 'customer', 'service', 'team', '.']","['i', 'feel', 'that', 'my', 'concerns', 'are', 'not', 'taken', 'seriously', 'by', 'the', 'customer', 'service', 'team', '.']",i feel that my concerns are not taken seriously by the customer service team ,feel concerns not taken seriously customer service team,feel concern not take seriously customer service team,feel concern not take seriously customer service team,Negative,1,0.1326
08-May-20,mixed feeling service varies month month,"['I', 'have', 'mixed', 'feelings', 'about', 'the', 'service', ';', 'it', 'varies', 'from', 'month', 'to', 'month', '.']","['i', 'have', 'mixed', 'feelings', 'about', 'the', 'service', ';', 'it', 'varies', 'from', 'month', 'to', 'month', '.']",i have mixed feelings about the service  it varies from month to month ,mixed feelings service varies month month,mixed feeling service varies month month,mixed feeling service varies month month,Neutral,2,0.128
08-May-20,iselco staff always courteous professional interaction,"['The', 'ISELCO', 'staff', 'are', 'always', 'courteous', 'and', 'professional', 'in', 'their', 'interactions', '.']","['the', 'iselco', 'staff', 'are', 'always', 'courteous', 'and', 'professional', 'in', 'their', 'interactions', '.']",the iselco staff are always courteous and professional in their interactions ,iselco staff always courteous professional interactions,iselco staff always courteous professional interaction,iselco staff always courteous professional interaction,Positive,0,0.5106
08-May-20,appreciate prompt response,"['I', 'appreciate', 'the', 'prompt', 'response']","['i', 'appreciate', 'the', 'prompt', 'response']",i appreciate the prompt response,appreciate prompt response,appreciate prompt response,appreciate prompt response,Positive,0,0.4019
08-May-20,billing process straightforward easy understand,"['The', 'billing', 'process', 'is', 'straightforward', 'and', 'easy', 'to', 'understand', '.']","['the', 'billing', 'process', 'is', 'straightforward', 'and', 'easy', 'to', 'understand', '.']",the billing process is straightforward and easy to understand ,billing process straightforward easy understand,billing process straightforward easy understand,billing process straightforward easy understand,Positive,0,0.4404
08-May-20,iselco commitment customer satisfaction commendable,"['ISELCO', 'commitment', 'to', 'customer', 'satisfaction', 'is', 'commendable', '.']","['iselco', 'commitment', 'to', 'customer', 'satisfaction', 'is', 'commendable', '.']",iselco commitment to customer satisfaction is commendable ,iselco commitment customer satisfaction commendable,iselco commitment customer satisfaction commendable,iselco commitment customer satisfaction commendable,Positive,0,0.6705
08-May-20,staff iselco always willing provide clear explanation,"['The', 'staff', 'at', 'ISELCO', 'are', 'always', 'willing', 'to', 'provide', 'clear', 'explanations', '.']","['the', 'staff', 'at', 'iselco', 'are', 'always', 'willing', 'to', 'provide', 'clear', 'explanations', '.']",the staff at iselco are always willing to provide clear explanations ,staff iselco always willing provide clear explanations,staff iselco always willing provide clear explanation,staff iselco always willing provide clear explanation,Positive,0,0.3818
